file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\TreeNode.java,ScrollableTreePanel,TreeNode,15,135,21
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\NavigationButtons.java,BreadcrumbPanel,NavigationButtons,15,57,32
freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\VisibleOutlineState.java,ScrollableTreePanel,VisibleOutlineState,15,135,16
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,MapAwareOutlinePane,OutlinePane,15,67,39
freeplane\src\main\java\org\freeplane\features\link\LinkController.java,freeplane\src\main\java\org\freeplane\features\link\mindmapmode\MLinkController.java,LinkController,MLinkController,14,62,36
freeplane\src\main\java\org\freeplane\features\nodestyle\NodeStyleBuilder.java,freeplane\src\main\java\org\freeplane\features\nodestyle\NodeStyleController.java,NodeStyleBuilder,NodeStyleController,14,19,19
freeplane\src\main\java\org\freeplane\features\nodestyle\NodeStyleController.java,freeplane\src\main\java\org\freeplane\features\nodestyle\mindmapmode\MNodeStyleController.java,NodeStyleController,MNodeStyleController,14,19,26
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTable.java,MainView,AttributeTable,14,135,67
freeplane\src\main\java\org\freeplane\features\ui\ViewController.java,freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessUIController.java,ViewController,HeadlessUIController,14,24,18
freeplane\src\main\java\org\freeplane\view\swing\map\MainViewPainter.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,MainViewPainter,NodeView,14,24,241
freeplane\src\main\java\org\freeplane\features\filter\Filter.java,freeplane\src\main\java\org\freeplane\features\filter\FilterController.java,Filter,FilterController,14,52,97
freeplane\src\main\java\org\freeplane\features\commandsearch\MenuItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\SearchItem.java,MenuItem,SearchItem,14,20,17
freeplane\src\main\java\org\freeplane\features\commandsearch\PreferencesItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\SearchItem.java,PreferencesItem,SearchItem,14,24,17
freeplane\src\main\java\org\freeplane\features\commandsearch\IconItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\MenuItem.java,IconItem,MenuItem,14,18,20
freeplane\src\main\java\org\freeplane\features\commandsearch\IconItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\PreferencesItem.java,IconItem,PreferencesItem,14,18,24
freeplane\src\main\java\org\freeplane\features\commandsearch\IconItem.java,freeplane\src\main\java\org\freeplane\features\commandsearch\SearchItem.java,IconItem,SearchItem,14,18,17
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMap.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,CodeMap,CodeMapController,14,24,50
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMap.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,CodeMap,CodeNode,14,24,36
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,TagCategories,TagEditor,14,74,71
freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,freeplane\src\main\java\org\freeplane\main\application\MapViewDockingWindows.java,ApplicationViewController,MapViewDockingWindows,14,50,49
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPath.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,BreadcrumbPath,ScrollableTreePanel,14,14,135
freeplane\src\main\java\org\freeplane\features\icon\IconController.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,IconController,MIconController,13,34,90
freeplane\src\main\java\org\freeplane\features\nodestyle\NodeStyleBuilder.java,freeplane\src\main\java\org\freeplane\features\nodestyle\mindmapmode\MNodeStyleController.java,NodeStyleBuilder,MNodeStyleController,13,19,26
freeplane\src\main\java\org\freeplane\features\text\TextController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,TextController,MainView,13,51,135
freeplane\src\main\java\org\freeplane\features\map\MapController.java,freeplane\src\main\java\org\freeplane\features\map\MapModel.java,MapController,MapModel,13,94,30
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewFactory.java,MainView,NodeViewFactory,13,135,36
freeplane\src\main\java\org\freeplane\features\map\MapController.java,freeplane\src\main\java\org\freeplane\features\map\NodeModel.java,MapController,NodeModel,13,94,55
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\Proxy.java,NodeProxy,Proxy,13,69,28
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewFactory.java,NodeView,NodeViewFactory,13,241,36
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MainView,MNodeDropListener,13,135,53
freeplane\src\main\java\org\freeplane\features\commandsearch\CommandSearchDialog.java,freeplane\src\main\java\org\freeplane\features\commandsearch\PreferencesItem.java,CommandSearchDialog,PreferencesItem,13,42,24
freeplane\src\main\java\org\freeplane\features\commandsearch\CommandSearchDialog.java,freeplane\src\main\java\org\freeplane\features\commandsearch\SearchItem.java,CommandSearchDialog,SearchItem,13,42,17
freeplane_plugin_formula\src\main\java\org\freeplane\plugin\formula\FormulaTextTransformer.java,freeplane_plugin_markdown\src\main\java\org\freeplane\plugin\markdown\MarkdownRenderer.java,FormulaTextTransformer,MarkdownRenderer,13,28,27
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeExplorerConfigurator.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,CodeExplorerConfigurator,CodeMapController,13,51,50
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,CodeMapController,ProjectRootNode,13,50,31
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,BlockPanel,OutlinePane,13,37,39
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NavigationButtons.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineGeometry.java,NavigationButtons,OutlineGeometry,13,32,21
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineViewport.java,BreadcrumbPanel,OutlineViewport,13,57,24
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlineViewport.java,NodePositioning,OutlineViewport,13,26,24
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,BreadcrumbPanel,NodePositioning,13,57,26
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\MNoteController.java,freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NoteManager.java,MNoteController,NoteManager,12,41,36
freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTable.java,freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTableCellRenderer.java,AttributeTable,AttributeTableCellRenderer,12,67,22
freeplane\src\main\java\org\freeplane\features\ui\IMapViewManager.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,IMapViewManager,MapView,12,31,315
freeplane\src\main\java\org\freeplane\features\icon\IconStore.java,freeplane\src\main\java\org\freeplane\features\icon\factory\IconStoreFactory.java,IconStore,IconStoreFactory,12,17,27
freeplane\src\main\java\org\freeplane\features\filter\FilterConditionEditor.java,freeplane\src\main\java\org\freeplane\features\filter\FilterController.java,FilterConditionEditor,FilterController,12,24,97
