file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessMapViewController.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,HeadlessMapViewController,MapViewController,33,39,82
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,MapAwareOutlinePane,ScrollableTreePanel,33,67,135
freeplane\src\org\freeplane\view\swing\map\ForkMainView.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,ForkMainView,NodeView,32,54,262
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\core\ui\MenuBuilder.java,ViewController,MenuBuilder,32,109,116
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,ViewController,NodeView,32,109,262
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MenuBuilder,MapView,32,116,279
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\file\RevertAction.java,MMapController,RevertAction,32,62,45
freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,ExportWithXSLT,MFileManager,32,55,100
freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeDialog.java,freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeWYSIWYG.java,EditNodeDialog,EditNodeWYSIWYG,32,45,53
freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MNoteController,MapView,32,79,279
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\core\modecontroller\MapController.java,ViewController,MapController,32,109,69
freeplane\src\org\freeplane\main\applet\AppletViewController.java,freeplane\src\org\freeplane\main\application\ApplicationViewController.java,AppletViewController,ApplicationViewController,32,59,99
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\main\application\LastOpenedList.java,MenuBuilder,LastOpenedList,32,116,84
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MainView,MapView,32,178,375
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,TagCategories,TagCategoryEditor,32,74,89
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\core\ui\MenuBuilder.java,Controller,MenuBuilder,31,62,116
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\core\ui\components\OptionalDontShowMeAgainDialog.java,MenuBuilder,OptionalDontShowMeAgainDialog,31,116,38
freeplane\src\org\freeplane\core\filter\FilterController.java,freeplane\src\org\freeplane\core\frame\ViewController.java,FilterController,ViewController,31,61,109
